
==> GET http://localhost:7001/App/Gex/Analysis?Symbol=QQQ&Refresh=false
    0s

==> Bid/ask de 114 strikes (228 legs) desde /Data/Tastytrade/MarketData/Quote
    20/114...
    40/114...
    60/114...
    80/114...
    100/114...

==> QQQ - 2026-10-16 - DTE 52 - REGULAR
    Spot 710,595   ATM IV 0,2032   Net GEX -23,7 B   Call Wall 750,0   Put Wall 700,0   ZGL 708,85
    Strikes: 238 en la cadena   |   Suma call 53.144,9 M | put -76.883,1 M | net -23.738,2 M

    GEX en millones de USD por 1% de movimiento  |  filas con |net| >= 20 M (142 de 238)
      STRIKE     CALL GEX      PUT GEX      NET GEX  CALL OI   PUT OI    C BID   C ASK   P BID   P ASK     PCS5    CCS5
         739         76,3        -14,1         62,2      226       37    10,15   10,25   35,73   35,91     3,10    1,49
         740      3.945,6     -2.407,3      1.538,2   11.758    6.367     9,82    9,91   36,43   36,60     3,15    1,45
         741        156,2          0,0        156,2      469        0     9,49    9,59   36,96   37,60     3,04    1,41
         742        112,6          0,0        112,6      341        0     9,18    9,27   37,68   38,52     3,10    1,36
         743        191,6          0,0        191,6      585        0     8,88    8,96   38,37   39,01     3,13    1,33
         744        112,0          0,0        112,0      345        0     8,57    8,66   39,11   39,74     3,20    1,29
         745      1.067,2       -311,5        755,7    3.318      883     8,28    8,37   39,88   40,47     3,28    1,21
         746        314,6          0,0        314,6      988        0     8,00    8,08   40,55   41,56     2,95       -
         747         87,9          0,0         87,9      279        0     7,73    7,82   41,26   42,29     2,74       -
         748         48,9          0,0         48,9      157        0     7,47    7,55   42,03   43,05     3,02       -
         749         50,6          0,0         50,6      164        0     7,20    7,28   42,79   43,83     3,05       -
         750      7.266,7       -333,3      6.933,4   23.845    1.027     6,99    7,07   43,53   44,45     3,06    1,13
         755      1.417,2        -19,9      1.397,3    4.968       68     5,78    5,86   47,47   48,30     3,02    0,89
         760      1.138,6        -52,4      1.086,2    4.313      204     4,83    4,89   51,44   52,05     3,14    0,80
         765      1.836,0         -9,9      1.826,0    7.597       45     3,97    4,03   55,71   56,56     3,66    0,67
         770      4.833,0        -94,9      4.738,0   22.081      517     3,25    3,30   60,15   61,03     3,59    0,55
         775        996,3        -14,7        981,6    5.079      106     2,65    2,70   64,71   65,70     3,68    0,46
         780        416,3         -8,4        407,9    2.390      103     2,15    2,19   69,02   70,27     3,32    0,38
         785        355,5         -5,5        350,0    2.316      104     1,75    1,77   73,63   75,51     3,36    0,31
         790        195,9          0,0        195,9    1.456        0     1,40    1,44   78,64   80,59     3,13    0,23
         795        440,8          0,0        440,8    3.778        0     1,14    1,17   83,54   85,50     2,95       -
         800      3.547,3          0,0      3.547,3   35.056        0        -       -       -       -        -       -
         805        220,2          0,0        220,2    2.530        0        -       -       -       -        -       -
         810         96,6          0,0         96,6    1.282        0        -       -       -       -        -       -
         815         72,2          0,0         72,2    1.108        0        -       -       -       -        -       -
         820        217,8          0,0        217,8    3.877        0        -       -       -       -        -       -
         825        359,8          0,0        359,8    7.452        0        -       -       -       -        -       -
         830        102,2          0,0        102,2    2.458        0        -       -       -       -        -       -
         835         68,5          0,0         68,5    1.895        0        -       -       -       -        -       -
         840         44,0          0,0         44,0    1.409        0        -       -       -       -        -       -
         845         43,2          0,0         43,2    1.607        0        -       -       -       -        -       -
         850        162,8          0,0        162,8    6.922        0        -       -       -       -        -       -
    (bid/ask solo dentro de +-12% del spot; fuera de esa banda las celdas van vacias)

==> CSV con los 238 strikes: C:\Eric\App\Claude\Projects\GaleCore\research\got\data\2026-08-25\QQQ_gex_2026-10-16.csv
